date,delta_2h,delta_18o
2015-03-23,-76.5,-10.74
2015-04-06,-77.2,-10.79
2015-04-20,-73.9,-10.41
2015-04-24,-96.4,-13.55
2015-05-02,-104.9,-14.19
2015-05-04,-84.9,-11.55
2015-05-13,-98.3,-13.7
2015-05-18,-76.9,-10.68
2015-05-28,-90.6,-12.83
2015-06-08,-66.0,-8.97
2015-06-13,-94.0,-13.05
2015-06-22,-68.3,-9.65
2015-06-26,-92.3,-12.8
2015-07-06,-58.7,-8.36
2015-07-14,-92.0,-12.73
2015-07-20,-50.1,-7.36
2015-07-27,-87.9,-12.22
2015-08-08,-88.4,-12.24
2015-08-10,-52.8,-7.51
2015-08-24,-70.0,-9.91
2015-09-05,-88.8,-12.35
2015-09-07,-69.7,-9.72
2015-09-21,-70.8,-9.91
2015-09-26,-88.3,-12.28
2015-10-05,-72.9,-10.26
2015-10-06,-76.9,-11.01
2015-10-19,-75.3,-10.93
2015-10-21,-89.2,-12.41
2015-11-09,-72.8,-10.23
2015-11-10,-90.2,-12.4
2015-11-23,-74.2,-10.43
2015-11-30,-92.3,-12.74
2015-12-07,-72.7,-10.18
2015-12-08,-72.7,-10.26
2015-12-16,-93.0,-12.86
2015-12-21,-73.1,-10.27
2015-12-22,-72.9,-10.29
2016-01-05,-76.3,-10.79
2016-01-06,-91.8,-12.68
2016-01-11,-81.4,-11.21
2016-01-19,-74.1,-9.76
2016-01-20,-92.2,-12.73
2016-01-25,-75.2,-10.54
2016-02-08,-76.4,-10.68
2016-02-09,-92.7,-12.73
2016-02-22,-77.1,-10.72
2016-02-25,-94.2,-12.91
2016-03-18,-95.1,-13.06
2016-04-07,-98.2,-13.5
2016-04-21,-98.7,-13.63
2016-05-07,-95.4,-13.07
2016-05-26,-99.3,-13.57
2016-06-09,-96.4,-13.37
2016-06-26,-94.9,-13.16
2016-07-15,-88.0,-12.33
2016-08-01,-87.2,-12.22
2016-08-20,-87.0,-12.2
2016-09-05,-71.0,-10.1
2016-10-03,-88.8,-12.41
2016-10-27,-86.4,-12.14
2016-11-11,-91.4,-12.7
2016-11-24,-91.2,-12.71
2016-12-13,-90.4,-12.46
2017-01-07,-90.6,-12.55
2017-01-30,-91.2,-12.57
2017-02-25,-92.1,-12.67
2017-03-25,-96.0,-13.21
2017-04-26,-82.1,-11.48
2017-05-18,-95.0,-13.2
2017-06-10,-91.2,-12.69
2017-06-27,-86.2,-11.95
2017-07-13,-79.8,-11.24
2017-08-12,-81.2,-11.53
2017-08-26,-87.5,-12.19
2017-09-23,-87.2,-12.2
2017-11-07,-85.4,-11.96
2017-11-23,-86.7,-12.04
2017-12-30,-93.9,-12.86
2018-01-05,-88.9,-12.38
2018-02-14,-89.3,-12.28
2018-03-02,-90.1,-12.43
2018-03-28,-89.8,-12.31
2018-04-19,-97.6,-13.38
2018-05-09,-92.4,-12.83
2018-06-14,-90.1,-12.41
2018-06-14,-90.1,-12.41
2018-06-23,-90.4,-12.65
2018-06-23,-90.4,-12.65
2018-07-12,-89.3,-12.49
2018-07-12,-89.3,-12.49
2018-07-24,-63.5,-9.57
2018-07-24,-63.5,-9.57
2018-08-18,-57.3,-8.8
2018-08-18,-57.3,-8.8
2018-09-07,-82.4,-11.75
2018-09-07,-82.4,-11.75
2018-09-22,-85.3,-12.03
2018-09-22,-85.3,-12.03
2018-10-09,-84.9,-12.01
2018-11-01,-86.3,-12.14
2018-11-01,-86.3,-12.14
2018-11-09,-84.9,-12.01
2018-11-15,-86.4,-12.18
2018-11-15,-86.4,-12.18
2018-12-10,-85.6,-12.0
2018-12-10,-85.5,-12.0
2018-12-31,-85.6,-11.98
2018-12-31,-85.6,-11.98
2019-01-29,-87.6,-12.24
2019-02-18,-88.4,-12.39
2019-03-20,-86.9,-12.11
2019-03-31,-86.3,-12.13
2019-04-13,-87.6,-12.27
2019-05-14,-87.5,-12.23
2019-05-28,-87.0,-12.26
2019-06-05,-88.0,-12.4
2019-06-19,-86.1,-12.19
2019-06-26,-85.8,-12.12
2019-07-08,-84.6,-11.92
2019-07-20,-85.7,-12.01
2019-08-03,-83.0,-11.7
2019-08-10,-75.2,-10.75
2019-08-31,-83.3,-11.73
2019-09-16,-82.3,-11.6
2019-09-27,-82.8,-11.71
2019-10-05,-79.2,-11.16
2019-10-24,-82.4,-11.61
2019-11-11,-83.0,-11.66
2019-11-22,-85.1,-11.94
2019-12-17,-87.8,-12.21
2020-01-04,-86.1,-11.99
2020-01-16,-86.5,-12.06
2020-02-06,-85.9,-12.02
2020-02-20,-85.8,-11.97
2020-03-04,-86.4,-12.05
2020-03-27,-87.6,-12.24
2020-04-14,-87.4,-12.29
2020-04-22,-86.3,-12.14
2020-05-05,-85.9,-12.1
2020-05-06,-85.2,-12.01
2020-05-18,-86.1,-12.16
2020-06-22,-85.0,-11.94
2020-07-06,-83.7,-11.78
2020-07-25,-80.2,-11.35
2020-08-08,-81.3,-11.49
2020-08-26,-82.0,-11.54
2020-09-09,-82.4,-11.62
2020-09-26,-78.2,-11.23
2020-10-16,-82.3,-11.63
2020-11-17,-84.0,-11.78
2020-12-08,-84.8,-11.91
2021-01-08,-85.4,-11.99
2021-01-19,-86.0,-12.03
2021-02-04,-89.0,-12.41
2021-02-23,-88.3,-12.31
2021-03-06,-87.9,-12.26
2021-03-26,-88.5,-12.36
2021-04-10,-87.8,-12.32
2021-04-23,-90.0,-12.57
2021-05-26,-87.0,-12.25
2021-06-09,-88.3,-12.48
2021-06-29,-81.2,-11.57
2021-07-10,-84.5,-11.9
2021-07-16,-85.1,-11.98
2021-08-05,-83.7,-11.76
2021-08-27,-84.0,-11.82
2021-09-20,-87.0,-12.26
2021-10-04,-84.5,-11.9
2021-10-20,-84.5,-11.88
2021-11-08,-85.8,-12.0
2021-11-26,-85.8,-11.92
2021-12-14,-88.7,-12.36
2022-01-07,-88.0,-12.27
2022-01-26,-87.9,-12.23
2022-02-25,-86.6,-12.08
2022-03-04,-86.7,-11.94
2022-03-23,-88.6,-12.42
2022-04-21,-90.4,-12.63
2022-04-30,-89.3,-12.48
2022-05-12,-90.0,-12.66
2022-05-18,-89.4,-12.51
