date,mean autumn surface temperature
1984,13.53
1985,15.89
1986,15.38
1987,17.02
1988,15.72
1989,16.76
1990,15.28
1991,18.88
1992,15.82
1993,13.99
1994,13.9
1995,14.31
1996,14.41
1997,19.93
1998,16.02
1999,16.77
2000,17.71
2001,16.33
2002,17.41
2003,16.9
2004,17.41
2005,15.22
2006,17.77
2007,15.4
2008,15.28
2009,16.32
2010,15.66
2011,17.81
2012,17.0
2013,16.23
2014,15.33
2015,14.99
2016,17.41
2017,15.76
2018,18.74
2019,17.24
2020,18.17
2021,16.8
2022,17.52
2023,18.29
