date,mean late autumn bottom oxygen concentration
1984,9.78
1985,9.06
1986,9.46
1987,8.88
1988,8.34
1989,9.65
1990,9.06
1991,8.5
1992,9.09
1993,9.06
1994,9.56
1995,6.43
1999,8.72
2000,5.85
2001,8.71
2002,6.49
2003,7.89
2004,8.4
2005,0.45
2006,7.13
2007,6.22
2008,8.13
2009,7.67
2010,7.41
2011,0.0
2012,7.76
2014,3.97
2015,8.6
2016,5.13
2017,3.6
2018,7.91
2019,6.02
2020,6.87
2021,9.44
