date,mean summer bottom oxygen concentration
1984,6.13
1985,5.26
1986,6.06
1987,5.69
1988,0.61
1989,3.75
1990,6.04
1991,6.19
1992,2.87
1993,3.55
1994,7.14
1995,5.72
1996,4.68
1997,3.1
1998,3.65
1999,4.65
2000,3.1
2001,4.58
2002,2.48
2003,2.66
2004,5.64
2005,6.77
2006,5.34
2007,4.37
2008,5.04
2009,3.92
2010,5.36
2011,2.31
2012,3.53
2013,5.58
2014,2.77
2015,3.57
2016,3.72
2017,4.13
2018,3.47
2019,4.62
2020,1.64
2021,6.27
2022,3.83
2023,3.64
