date,mean summer surface temperature
1984,16.21
1985,17.64
1986,16.17
1987,17.77
1988,18.17
1989,18.48
1990,17.36
1991,21.82
1992,18.36
1993,18.83
1994,18.94
1995,19.89
1996,16.87
1997,17.52
1998,19.75
1999,18.48
2000,16.36
2001,18.82
2002,19.84
2003,21.8
2004,19.21
2005,18.16
2006,22.7
2007,17.63
2008,20.39
2009,18.38
2010,19.91
2011,18.06
2012,18.46
2013,19.61
2014,17.86
2015,21.47
2016,19.04
2017,19.27
2018,21.05
2019,21.42
2020,20.26
2021,17.11
2022,21.82
2023,19.99
