date,mean autumn Secchi depth
1984,1.95
1985,2.16
1986,1.94
1987,1.8
1988,1.62
1989,2.6
1990,2.47
1991,2.35
1992,2.78
1993,3.02
1994,2.48
1995,2.98
1996,1.4
1997,3.0
1998,3.0
1999,2.83
2000,3.12
2001,1.73
2002,2.23
2003,2.95
2004,3.45
2005,3.15
2006,2.2
2007,2.52
2008,3.15
2009,4.01
2010,3.1
2011,3.51
2012,2.21
2013,2.99
2014,2.25
2015,2.61
2016,2.74
2017,4.24
2018,2.87
2019,3.45
2020,2.56
2021,2.26
2022,3.09
2023,2.46
