date,mean spring epilimnion 0-10 m oxygen concentration
1984,11.31
1985,11.85
1986,13.45
1987,13.69
1988,9.92
1989,9.23
1990,11.79
1991,12.71
1992,12.89
1993,12.92
1994,12.88
1996,11.93
1997,11.19
1998,11.29
2000,11.54
2001,7.91
2002,7.19
2003,7.33
2004,11.24
2005,11.47
2006,11.58
2008,11.48
2009,11.64
2010,10.56
2011,11.37
2012,11.43
2013,11.38
2014,11.4
2015,11.27
2016,11.09
2017,11.1
2018,12.12
2019,11.89
2020,11.0
2021,11.52
2022,11.4
2023,11.12
