date,mean spring Schmidt stability
1984,3.1
1985,39.11
1986,36.11
1987,11.59
1989,8.52
1990,10.34
1991,48.7
1992,6.22
1993,58.31
1994,-1.67
1997,8.81
1998,17.24
2000,33.17
2001,11.38
2002,26.58
2003,19.84
2004,21.48
2005,11.27
2006,79.04
2008,36.58
2009,31.94
2010,10.91
2011,81.63
2012,8.53
2013,26.14
2014,61.98
2015,19.14
2016,17.64
2017,4.91
2018,87.65
2019,8.53
2020,78.62
2021,8.44
2022,18.98
2023,16.04
