date,mean summer Schmidt stability
1984,357.87
1985,406.02
1986,387.33
1987,262.69
1988,367.25
1989,453.26
1990,448.48
1991,665.77
1992,471.45
1993,457.69
1994,545.15
1995,574.52
1996,361.39
1997,341.24
1998,581.44
1999,537.24
2000,352.35
2001,543.01
2002,513.33
2003,756.34
2004,526.98
2005,551.85
2006,828.73
2007,378.59
2008,615.61
2009,447.56
2010,555.35
2011,486.99
2012,479.44
2013,590.31
2014,391.76
2015,711.64
2016,532.06
2017,546.87
2018,694.91
2019,655.3
2020,611.21
2021,384.96
2022,810.26
2023,624.21
