date,mean early autumn hypolimnetic oxygen content
1984,77.82
1985,30.92
1986,29.07
1987,84.66
1988,78.35
1989,2.81
1990,39.32
1991,8.75
1992,4.52
1993,47.6
1994,73.13
1995,49.3
1996,61.82
1997,38.24
1998,64.18
1999,21.13
2000,12.81
2001,24.94
2002,26.87
2003,22.81
2004,71.51
2005,55.53
2006,49.47
2007,44.89
2008,48.23
2009,4.76
2010,43.8
2011,0.38
2012,7.45
2013,38.68
2014,7.6
2015,70.76
2016,30.2
2017,15.64
2018,4.37
2019,6.9
2020,19.52
2021,33.11
2022,17.27
2023,19.1
