date,mean autumn bottom oxygen concentration
1984,2.32
1985,0.74
1986,0.59
1987,3.31
1988,3.16
1989,0.1
1990,1.15
1991,0.22
1992,0.15
1993,0.5
1994,1.8
1995,1.39
1996,1.6
1997,1.73
1998,1.67
1999,0.39
2000,0.45
2001,0.49
2002,0.96
2003,0.38
2004,0.99
2005,1.77
2006,1.36
2007,1.27
2008,1.35
2009,0.02
2010,1.32
2011,0.02
2012,0.17
2013,0.9
2014,0.1
2015,0.38
2016,0.86
2017,0.47
2018,0.1
2019,0.22
2020,0.3
2021,1.11
2022,0.6
2023,0.77
