date,mean summer thermocline depth
1984,6.46
1985,6.8
1986,7.1
1987,1.86
1988,5.6
1989,8.4
1990,8.33
1991,8.98
1992,7.65
1993,3.93
1994,5.89
1995,8.18
1996,9.92
1997,6.62
1998,9.78
1999,10.47
2000,11.11
2001,11.77
2002,5.11
2003,8.9
2004,8.38
2005,8.45
2006,7.76
2007,9.57
2008,6.53
2009,6.47
2010,6.4
2011,7.82
2012,9.31
2013,7.86
2014,8.8
2015,7.75
2016,6.72
2017,7.61
2018,6.42
2019,6.91
2020,8.52
2021,9.56
2022,9.56
2023,8.61
