date,mean summer epilimnion 0-5 m oxygen concentration
1984,8.15
1985,10.31
1986,8.86
1987,9.33
1988,9.79
1989,10.09
1990,10.05
1991,11.33
1992,9.93
1993,9.24
1994,12.66
1995,8.79
1996,9.44
1997,9.64
1998,9.75
1999,9.56
2000,8.49
2001,9.53
2002,6.09
2003,9.69
2004,9.42
2005,9.13
2006,8.8
2007,9.13
2008,10.91
2009,9.42
2010,9.39
2011,9.89
2012,9.16
2013,10.38
2014,9.86
2015,9.36
2016,9.3
2017,8.82
2018,9.95
2019,10.81
2020,10.37
2021,9.85
2022,9.7
2023,9.75
