date,mean summer hypolimnetic oxygen concentration
1984,6.79
1985,5.7
1986,6.19
1987,6.32
1988,3.28
1989,4.46
1990,6.47
1991,6.72
1992,3.37
1993,4.06
1994,8.13
1995,6.07
1996,5.23
1997,4.22
1998,4.32
1999,5.3
2000,4.05
2001,5.09
2002,2.9
2003,3.51
2004,6.05
2005,7.09
2006,6.1
2007,4.53
2008,5.35
2009,4.48
2010,5.92
2011,2.8
2012,4.15
2013,6.19
2014,3.58
2015,4.06
2016,4.75
2017,4.84
2018,4.13
2019,5.26
2020,2.56
2021,6.53
2022,4.52
2023,4.3
