date,mean spring bottom oxygen concentration
1984,8.49
1985,8.8
1986,13.02
1987,12.84
1988,8.82
1989,6.76
1990,10.99
1991,11.91
1992,11.88
1993,11.9
1994,11.37
1997,10.09
1998,10.66
2000,10.36
2001,7.35
2002,6.43
2003,6.95
2004,11.06
2005,10.16
2006,10.23
2008,11.01
2009,6.81
2010,9.39
2011,9.85
2012,10.58
2013,9.98
2014,9.22
2015,10.06
2016,9.7
2017,10.02
2018,10.42
2019,11.17
2020,9.82
2021,10.73
2022,10.49
2023,10.28
