date,mean summer bottom temperature
1984,7.55
1985,7.98
1986,7.57
1987,9.46
1988,8.8
1989,9.7
1990,8.61
1991,9.48
1992,9.22
1993,8.74
1994,7.8
1995,10.3
1996,10.04
1997,10.68
1998,9.83
1999,9.2
2000,9.48
2001,9.11
2002,10.0
2003,9.73
2004,10.03
2005,6.81
2006,9.96
2007,9.89
2008,9.84
2009,9.62
2010,9.43
2011,8.51
2012,10.21
2013,8.97
2014,10.22
2015,9.72
2016,9.19
2017,9.24
2018,8.65
2019,8.62
2020,9.3
2021,9.76
2022,9.03
2023,9.07
