date,mean autumn surface oxygen concentration
1984,8.49
1985,10.27
1986,8.94
1987,9.74
1988,9.31
1989,9.97
1990,8.94
1991,9.88
1992,8.83
1993,9.31
1994,11.09
1995,8.35
1996,8.66
1997,9.12
1998,8.47
1999,8.46
2000,13.23
2001,8.97
2002,8.54
2003,8.83
2004,8.91
2005,8.59
2006,9.98
2007,8.76
2008,9.57
2009,7.15
2010,9.4
2011,9.09
2012,8.3
2013,9.77
2014,8.54
2015,8.55
2016,8.88
2017,9.17
2018,8.52
2019,9.09
2020,9.29
2021,9.65
2022,9.59
2023,9.0
