date,mean spring surface oxygen concentration
1984,11.64
1985,11.82
1986,12.71
1987,13.81
1988,9.85
1989,9.06
1990,12.42
1991,13.77
1992,12.88
1993,14.15
1994,13.02
1996,11.88
1997,11.26
1998,11.36
2000,11.74
2001,8.35
2002,7.15
2003,7.29
2004,11.19
2005,11.56
2006,11.4
2008,11.43
2009,12.26
2010,10.85
2011,11.29
2012,11.59
2013,11.62
2014,11.65
2015,11.44
2016,11.22
2017,11.21
2018,11.92
2019,12.09
2020,11.1
2021,11.61
2022,11.89
2023,11.3
