date,mean spring surface temperature
1984,2.85
1985,3.94
1986,4.63
1987,5.45
1989,6.71
1990,6.2
1991,9.33
1992,5.3
1993,8.52
1994,4.23
1996,7.28
1997,6.7
1998,6.76
2000,6.8
2001,6.55
2002,7.86
2003,6.12
2004,7.32
2005,4.19
2006,10.44
2008,6.11
2009,7.3
2010,6.92
2011,9.71
2012,6.17
2013,7.02
2014,9.48
2015,7.54
2016,6.43
2017,7.01
2018,11.52
2019,5.56
2020,8.01
2021,5.8
2022,8.65
2023,6.4
