date,mean spring Secchi depth
1984,3.33
1986,1.51
1987,2.22
1988,1.64
1989,1.98
1990,2.55
1991,1.82
1992,1.75
1993,1.77
1994,2.95
1996,1.52
1997,1.58
1998,1.4
2000,1.5
2001,1.35
2002,1.93
2003,1.2
2004,1.91
2005,1.71
2006,2.09
2008,4.6
2009,3.74
2010,2.92
2011,3.29
2012,2.35
2013,4.2
2014,2.21
2015,2.83
2016,3.17
2017,1.95
2018,2.28
2019,2.91
2020,3.43
2021,2.68
2022,3.08
2023,2.5
