date,mean annual Secchi depth
1973,3.72
1978,3.62
1986,5.31
1987,4.72
1988,4.2
1989,3.67
1990,4.84
1991,5.72
1992,3.71
1993,3.11
1994,4.62
1995,5.11
1996,3.78
1997,3.6
1999,2.44
2000,2.71
2001,2.67
2002,2.4
2003,3.22
2004,3.2
2005,3.35
2006,3.4
2007,3.14
2008,3.76
2009,4.2
2010,4.15
2011,4.12
2012,3.68
2013,3.5
2014,4.25
2015,5.03
2016,4.6
2017,4.17
2018,4.71
2019,4.74
2020,4.31
2021,4.2
2022,4.94
2023,4.68
