date,mean winter Secchi depth
1974,9.28
1978,5.33
1979,5.65
1983,8.12
1986,6.39
1987,6.44
1988,9.15
1989,6.86
1990,7.21
1991,8.96
1992,5.79
1993,3.4
1994,7.7
1995,7.31
1996,6.01
1997,4.65
1999,3.18
2000,3.02
2001,3.0
2002,2.69
2003,2.63
2004,2.9
2005,3.33
2006,3.73
2007,2.92
2008,3.64
2009,4.57
2010,4.6
2011,3.42
2012,3.42
2013,4.34
2014,3.78
2015,5.96
2016,5.04
2017,4.37
2018,3.93
2019,5.03
2020,4.47
2021,3.52
2022,5.06
2023,3.89
