date,mean autumn hypolimnetic oxygen concentration
1973,0.22
1976,1.66
1978,0.74
1982,0.8
1985,0.43
1986,2.49
1987,4.65
1988,2.85
1989,3.47
1990,2.71
1991,4.82
1992,2.37
1993,1.71
1994,4.04
1995,2.87
1996,3.78
1997,3.27
1998,2.57
1999,1.3
2000,1.33
2001,0.76
2002,0.84
2003,1.74
2004,1.53
2005,1.89
2006,1.16
2007,0.61
2008,1.15
2009,1.3
2010,3.11
2011,1.41
2012,1.95
2013,3.2
2014,0.64
2015,3.37
2016,1.79
2017,1.97
2018,2.73
2019,2.16
2020,2.0
2021,2.22
2022,2.27
2023,1.27
