date,mean late autumn bottom oxygen concentration
1973,0.0
1976,0.0
1978,0.0
1982,0.0
1983,0.06
1985,0.0
1986,0.05
1987,2.25
1988,1.12
1989,0.28
1990,1.21
1991,3.54
1992,0.85
1993,0.86
1994,0.9
1995,1.01
1996,3.37
1997,2.54
1998,2.29
1999,0.63
2000,0.32
2001,1.66
2002,0.36
2003,0.78
2004,0.1
2005,0.28
2006,0.15
2007,1.13
2008,1.08
2009,0.1
2010,1.47
2011,0.1
2012,0.09
2013,0.6
2014,0.08
2015,0.47
2016,0.99
2017,0.22
2018,0.22
2019,0.02
2020,0.03
2021,0.15
2022,0.3
2023,0.12
