date,mean early autumn bottom oxygen concentration
1972,0.0
1973,0.0
1975,0.0
1976,0.15
1978,0.0
1979,0.02
1982,0.0
1985,0.0
1986,0.0
1987,0.36
1988,0.21
1989,0.4
1990,0.04
1991,1.15
1992,0.43
1993,0.08
1994,0.36
1995,0.3
1996,0.92
1997,1.16
1998,0.65
1999,0.33
2000,0.34
2001,0.3
2002,0.32
2003,0.13
2004,0.11
2005,0.11
2006,0.06
2007,0.07
2008,0.16
2009,0.05
2010,0.1
2011,0.07
2012,0.35
2013,0.37
2014,0.04
2015,0.28
2016,0.19
2017,0.19
2018,0.59
2019,0.46
2020,0.07
2021,0.54
2022,0.85
2023,0.28
