date,mean summer hypolimnetic oxygen concentration
1973,1.31
1976,4.61
1978,2.58
1982,2.69
1985,1.88
1986,6.19
1987,7.84
1988,6.88
1989,5.86
1990,5.96
1991,7.53
1992,6.85
1993,5.87
1994,6.92
1995,6.81
1996,7.64
1997,5.94
1998,6.35
1999,5.29
2000,5.2
2001,4.49
2002,4.64
2003,5.42
2004,5.31
2005,4.99
2006,5.53
2007,2.93
2008,4.91
2009,6.08
2010,7.77
2011,6.14
2012,6.52
2013,7.95
2014,4.54
2015,7.48
2016,6.05
2017,6.27
2018,7.02
2019,6.33
2020,6.24
2021,6.9
2022,6.6
2023,5.38
