date,mean spring surface oxygen concentration
1973,10.88
1974,14.84
1977,10.14
1978,14.1
1979,9.42
1982,11.9
1983,12.88
1984,11.58
1985,11.72
1986,10.6
1987,15.27
1988,14.89
1989,15.12
1990,13.04
1991,13.71
1992,14.91
1993,14.7
1994,14.94
1995,12.76
1996,14.72
1997,13.66
1998,12.93
1999,13.91
2000,13.65
2001,13.56
2002,12.34
2004,13.51
2005,13.28
2006,12.47
2007,12.86
2008,12.24
2009,11.93
2010,11.62
2011,11.66
2012,12.47
2013,11.96
2014,11.93
2015,11.92
2016,11.54
2017,11.75
2018,11.83
2019,11.41
2020,11.3
2021,12.53
2022,12.1
2023,11.99
