date,mean summer Secchi depth
1973,3.35
1978,1.52
1982,3.54
1985,2.65
1986,3.97
1987,3.3
1988,2.01
1989,2.33
1990,3.35
1991,3.68
1992,3.04
1993,3.67
1994,3.41
1995,3.17
1996,2.62
1997,2.49
1998,3.21
1999,1.73
2000,3.18
2001,2.87
2002,4.22
2003,4.09
2004,5.61
2005,5.34
2006,5.47
2007,2.79
2008,5.6
2009,4.34
2010,6.12
2011,5.17
2012,4.1
2013,5.45
2014,4.58
2015,5.34
2016,3.7
2017,5.74
2018,6.62
2019,5.02
2020,4.1
2021,5.7
2022,4.52
2023,7.78
