date,mean late summer Secchi depth
1971,3.57
1973,2.24
1974,3.82
1976,4.18
1978,4.73
1979,4.38
1982,2.25
1985,3.27
1986,3.61
1987,3.09
1988,2.28
1989,2.57
1990,2.14
1991,2.41
1992,4.88
1993,2.5
1994,3.58
1995,2.63
1996,2.6
1997,2.62
1998,3.99
1999,2.18
2000,3.11
2001,3.3
2002,3.18
2003,4.65
2004,2.95
2005,3.55
2006,3.62
2007,2.37
2008,3.22
2009,4.82
2010,4.59
2011,4.53
2012,2.52
2013,3.5
2014,2.43
2015,3.32
2016,3.68
2017,3.4
2018,5.58
2019,4.45
2020,3.15
2021,2.34
2022,5.86
2023,5.56
