date,mean spring epilimnion 0-5 m oxygen concentration
1973,10.25
1974,14.2
1977,10.16
1978,12.32
1979,9.5
1982,11.56
1983,12.55
1984,11.57
1985,11.64
1986,10.47
1987,14.18
1988,14.53
1989,14.39
1990,12.85
1991,13.44
1992,14.28
1993,14.07
1994,14.76
1995,12.66
1996,13.9
1997,13.45
1998,13.49
1999,13.85
2000,13.68
2001,13.48
2002,12.24
2004,13.32
2005,13.09
2006,12.57
2007,13.81
2008,12.23
2009,12.12
2010,11.83
2011,12.32
2012,12.51
2013,12.07
2014,12.09
2015,11.96
2016,11.53
2017,11.8
2018,11.95
2019,11.77
2020,11.41
2021,12.57
2022,12.17
2023,11.88
