date,mean annual bottom conductivity
1973,363.27
1978,374.54
1986,366.53
1987,362.94
1988,361.99
1989,349.1
1990,341.27
1991,345.09
1992,344.43
1993,350.52
1994,353.96
1995,358.8
1996,353.04
1999,344.21
2000,344.04
2001,345.71
2002,347.74
2003,360.44
2004,348.92
2005,345.15
2006,357.22
2007,353.25
2008,359.39
2009,361.54
2010,351.7
2011,353.12
2012,351.02
2013,361.01
2014,357.49
2015,357.33
2016,350.35
2017,353.26
2018,349.81
2019,356.81
2020,364.41
2021,363.94
2022,362.24
2023,339.94
