date,mean winter hypolimnetic density
1974,1000.1907
1978,1000.1986
1979,1000.1883
1983,1000.2079
1984,1000.1962
1986,1000.1986
1987,1000.2022
1988,1000.1955
1989,1000.187
1990,1000.1782
1991,1000.1812
1992,1000.1856
1993,1000.189
1994,1000.1915
1995,1000.1871
1996,1000.1908
1997,1000.1925
1999,1000.1808
2000,1000.1829
2001,1000.1601
2002,1000.1911
2003,1000.1623
2004,1000.1858
2005,1000.1801
2006,1000.1916
2007,1000.1677
2008,1000.1975
2009,1000.1993
2010,1000.1925
2011,1000.1935
2012,1000.17
2013,1000.1828
2014,1000.187
2015,1000.1668
2016,1000.1543
2017,1000.1722
2018,1000.1716
2019,1000.1708
2020,1000.16
2021,1000.1795
2022,1000.1767
2023,1000.1403
