date,mean summer epilimnion 5-10 m oxygen concentration
1973,5.97
1976,10.33
1978,4.99
1982,8.4
1985,4.81
1986,8.05
1987,7.37
1988,5.1
1989,4.16
1990,9.57
1991,8.82
1992,10.37
1993,5.36
1994,5.07
1995,7.18
1996,8.88
1997,8.26
1998,14.63
1999,6.56
2000,5.53
2001,6.69
2002,8.95
2003,12.66
2004,20.13
2005,16.22
2006,22.0
2007,11.53
2008,19.62
2009,24.3
2010,19.41
2011,24.31
2012,23.11
2013,20.11
2014,14.47
2015,15.34
2016,13.44
2017,16.08
2018,17.94
2019,15.11
2020,15.17
2021,15.54
2022,17.83
2023,17.1
