date,minimum bottom temperature
1973,4.0
1978,4.0
1986,3.6
1987,3.1
1988,4.3
1989,4.6
1990,4.65
1991,3.6
1992,3.6
1993,4.05
1994,4.1
1995,4.9
1996,3.8
1997,3.6
1999,3.68
2000,4.11
2001,5.09
2002,4.31
2003,3.84
2004,4.27
2005,3.74
2006,3.24
2007,5.2
2008,3.98
2009,3.46
2010,3.45
2011,3.99
2012,3.49
2013,4.14
2014,4.72
2015,4.51
2016,5.23
2017,4.08
2018,4.32
2019,4.73
2020,5.78
2021,4.38
2022,5.0
2023,5.2
