date,mean summer surface oxygen concentration
1973,13.16
1976,11.18
1978,13.14
1982,13.0
1985,14.01
1986,12.87
1987,12.69
1988,12.71
1989,12.96
1990,13.47
1991,12.71
1992,11.89
1993,12.14
1994,10.3
1995,12.53
1996,12.17
1997,11.68
1998,11.49
1999,13.43
2000,12.42
2001,12.94
2002,10.01
2003,9.65
2004,11.25
2005,10.58
2006,10.46
2007,12.26
2008,10.5
2009,10.84
2010,10.16
2011,10.41
2012,9.54
2013,9.12
2014,9.74
2015,9.33
2016,10.46
2017,9.56
2018,9.5
2019,9.44
2020,9.68
2021,9.66
2022,9.15
2023,9.15
