date,mean spring Secchi depth
1973,4.11
1974,3.07
1977,4.5
1978,1.85
1979,3.94
1982,2.49
1983,2.78
1984,3.99
1985,2.39
1986,3.82
1987,3.0
1988,2.41
1989,1.96
1990,2.71
1991,3.69
1992,2.39
1993,1.76
1994,2.43
1995,4.43
1996,3.1
1997,2.08
1998,3.29
1999,2.13
2000,1.9
2001,1.41
2002,1.11
2004,1.61
2005,1.53
2006,2.64
2007,2.19
2008,1.97
2009,3.21
2010,3.47
2011,3.27
2012,2.08
2013,2.6
2014,3.77
2015,4.74
2016,4.21
2017,3.51
2018,3.73
2019,4.48
2020,4.55
2021,2.78
2022,4.12
2023,3.68
