date,mean autumn Secchi depth
1973,3.78
1976,3.47
1978,5.32
1982,3.94
1985,6.3
1986,5.45
1987,4.08
1988,3.57
1989,4.72
1990,4.44
1991,5.0
1992,3.14
1993,2.64
1994,6.02
1995,6.78
1996,2.16
1997,2.9
1998,2.17
1999,2.61
2000,2.11
2001,1.96
2002,1.63
2003,2.71
2004,2.74
2005,3.44
2006,3.05
2007,3.53
2008,5.03
2009,3.65
2010,2.63
2011,3.47
2012,4.75
2013,3.33
2014,4.01
2015,4.56
2016,5.05
2017,3.85
2018,4.34
2019,5.79
2020,4.92
2021,5.49
2022,6.23
2023,4.73
