date,mean annual bottom temperature
1973,4.47
1978,4.17
1986,4.43
1987,4.41
1988,5.24
1989,5.47
1990,5.71
1991,4.95
1992,5.09
1993,4.83
1994,5.3
1995,5.75
1996,4.87
1997,5.09
1999,4.84
2000,5.25
2001,5.88
2002,5.58
2003,4.96
2004,4.81
2005,4.58
2006,4.51
2007,5.64
2008,5.24
2009,4.66
2010,4.76
2011,4.95
2012,4.74
2013,4.8
2014,5.5
2015,5.42
2016,5.83
2017,5.28
2018,5.22
2019,5.9
2020,6.39
2021,5.73
2022,5.77
2023,6.06
