date,mean winter epilimnion 5-10 m oxygen concentration
1974,7.05
1978,7.48
1979,5.72
1983,7.6
1984,8.28
1986,5.95
1987,8.89
1988,8.31
1989,8.38
1990,7.17
1991,8.44
1992,9.19
1993,9.48
1994,9.0
1995,8.53
1996,7.9
1997,8.84
1999,9.19
2000,9.37
2001,7.77
2002,9.46
2003,8.56
2004,8.87
2005,8.83
2006,8.66
2007,7.94
2008,9.11
2009,9.09
2010,8.76
2011,9.49
2012,9.53
2013,8.73
2014,8.68
2015,7.57
2016,8.33
2017,8.08
2018,9.9
2019,8.86
2020,9.04
2021,9.39
2022,10.2
2023,8.44
