date,mean winter epilimnion 0-5 m oxygen concentration
1974,6.78
1978,7.42
1979,6.1
1983,7.7
1984,8.28
1986,6.07
1987,9.12
1988,8.34
1989,8.46
1990,6.97
1991,8.33
1992,9.28
1993,9.55
1994,9.08
1995,7.75
1996,7.98
1997,8.85
1999,9.37
2000,9.46
2001,7.86
2002,9.61
2003,8.62
2004,8.93
2005,8.93
2006,8.79
2007,8.08
2008,9.19
2009,9.12
2010,8.9
2011,9.87
2012,9.66
2013,8.79
2014,8.73
2015,7.75
2016,8.42
2017,8.21
2018,9.93
2019,8.97
2020,9.18
2021,9.51
2022,10.68
2023,8.93
