date,mean early autumn Schmidt stability
1972,1150.65
1973,1676.27
1975,1644.62
1976,1509.59
1978,1410.93
1979,1450.1
1982,1742.71
1985,1704.63
1986,1392.06
1987,1708.73
1988,1387.62
1989,1527.97
1990,1591.52
1991,1833.0
1992,1608.4
1993,1468.12
1994,1567.95
1995,1531.49
1996,1234.57
1997,1929.25
1998,1512.88
1999,1713.03
2000,1642.74
2001,1387.46
2002,1562.71
2003,1843.23
2004,1980.85
2005,1956.83
2006,1817.65
2007,1518.39
2008,1513.51
2009,1811.41
2010,1697.29
2011,2285.68
2012,1951.7
2013,1815.88
2014,1920.33
2015,1824.98
2016,2292.45
2017,1829.0
2018,2206.24
2019,2130.75
2020,2419.01
2021,1929.81
2022,2198.27
2023,2604.5
