date,mean annual hypolimnetic density
1973,1000.1849
1978,1000.1925
1986,1000.1932
1987,1000.1919
1988,1000.1778
1989,1000.1646
1990,1000.1537
1991,1000.1734
1992,1000.1693
1993,1000.1852
1994,1000.1703
1995,1000.1642
1996,1000.1836
1999,1000.1753
2000,1000.1628
2001,1000.1517
2002,1000.1551
2003,1000.1851
2004,1000.1839
2005,1000.185
2006,1000.1885
2007,1000.1696
2008,1000.1809
2009,1000.1927
2010,1000.1831
2011,1000.1776
2012,1000.1808
2013,1000.1908
2014,1000.1686
2015,1000.1728
2016,1000.1558
2017,1000.167
2018,1000.1697
2019,1000.1517
2020,1000.1419
2021,1000.1637
2022,1000.165
2023,1000.1387
