date,mean summer bottom oxygen concentration
1973,0.0
1976,0.64
1978,0.0
1982,0.0
1985,0.05
1986,0.05
1987,1.12
1988,1.08
1989,1.04
1990,0.56
1991,3.67
1992,1.26
1993,1.02
1994,2.81
1995,2.7
1996,3.44
1997,2.58
1998,1.45
1999,2.66
2000,0.76
2001,0.66
2002,1.07
2003,0.21
2004,0.1
2005,0.13
2006,0.41
2007,0.07
2008,0.4
2009,0.35
2010,3.85
2011,3.2
2012,2.77
2013,4.31
2014,1.57
2015,3.26
2016,2.3
2017,1.79
2018,2.08
2019,2.48
2020,2.01
2021,3.44
2022,3.22
2023,1.8
