date,mean summer thermocline depth
1973,6.74
1976,7.0
1978,5.41
1982,7.18
1985,6.49
1986,5.84
1987,5.11
1988,6.12
1989,6.42
1990,6.97
1991,5.94
1992,6.49
1993,7.53
1994,6.19
1995,6.19
1996,7.05
1997,7.89
1998,6.89
1999,5.87
2000,6.43
2001,7.27
2002,5.82
2003,6.69
2004,7.06
2005,6.49
2006,6.43
2007,8.29
2008,6.72
2009,7.81
2010,7.35
2011,8.27
2012,7.82
2013,6.64
2014,8.26
2015,6.73
2016,7.52
2017,8.1
2018,7.93
2019,7.37
2020,8.54
2021,7.56
2022,7.99
2023,8.13
