date,mean spring bottom oxygen concentration
1973,0.06
1974,0.0
1977,0.4
1978,0.24
1979,3.4
1982,0.89
1983,0.94
1984,1.64
1985,0.19
1986,8.99
1987,10.35
1988,9.63
1989,7.73
1990,8.17
1991,9.02
1992,9.75
1993,9.52
1994,8.45
1995,9.5
1996,9.78
1997,8.45
1998,8.89
1999,8.38
2000,7.45
2001,8.8
2002,8.98
2004,9.84
2005,9.64
2006,9.94
2007,5.8
2008,9.94
2009,10.67
2010,10.08
2011,8.82
2012,10.03
2013,10.14
2014,7.9
2015,8.72
2016,9.02
2017,8.39
2018,9.34
2019,8.64
2020,7.04
2021,9.44
2022,9.7
2023,8.0
