date,mean autumn epilimnion 0-10 m oxygen concentration
1973,8.09
1976,10.52
1978,9.24
1982,7.99
1985,7.79
1986,9.33
1987,7.82
1988,8.62
1989,8.66
1990,9.13
1991,8.43
1992,8.24
1993,9.0
1994,7.95
1995,8.7
1996,9.86
1997,8.14
1998,9.24
1999,7.82
2000,8.05
2001,9.63
2002,8.06
2003,10.66
2004,10.03
2005,10.36
2006,9.95
2007,9.64
2008,10.65
2009,11.02
2010,12.35
2011,11.43
2012,10.41
2013,12.19
2014,10.99
2015,10.84
2016,11.18
2017,11.09
2018,10.84
2019,10.46
2020,11.23
2021,10.48
2022,10.92
2023,11.54
