date,mean spring epilimnion 0-10 m oxygen concentration
1973,9.36
1974,11.99
1977,9.97
1978,11.18
1979,9.16
1982,11.19
1983,11.89
1984,11.25
1985,11.53
1986,10.33
1987,13.51
1988,13.86
1989,13.22
1990,12.48
1991,12.84
1992,13.4
1993,13.37
1994,13.97
1995,12.3
1996,13.1
1997,12.88
1998,13.16
1999,13.34
2000,13.05
2001,12.98
2002,11.94
2004,12.99
2005,12.72
2006,12.22
2007,12.96
2008,12.04
2009,12.09
2010,11.99
2011,12.47
2012,12.45
2013,12.04
2014,11.95
2015,12.19
2016,11.53
2017,11.82
2018,11.98
2019,11.9
2020,11.83
2021,12.48
2022,12.41
2023,11.79
