date,minimum surface temperature
1973,2.9
1978,3.2
1986,3.45
1987,2.75
1988,4.3
1989,4.7
1990,5.0
1991,3.0
1992,3.3
1993,4.45
1994,4.1
1995,4.85
1996,3.6
1997,3.4
1999,3.04
2000,3.86
2001,5.13
2002,4.38
2003,3.64
2004,4.17
2005,3.36
2006,3.09
2007,5.36
2008,4.07
2009,3.32
2010,3.42
2011,3.88
2012,2.92
2013,4.14
2014,4.89
2015,4.48
2016,5.45
2017,4.13
2018,4.75
2019,5.15
2020,5.82
2021,4.7
2022,5.0
2023,5.3
