date,mean autumn hypolimnetic density
1973,1000.1802
1978,1000.199
1982,1000.2149
1985,1000.2076
1986,1000.1933
1987,1000.1877
1988,1000.1765
1989,1000.1611
1990,1000.1478
1991,1000.1645
1992,1000.1646
1993,1000.186
1994,1000.1633
1995,1000.1584
1996,1000.1778
1998,1000.1475
1999,1000.1719
2000,1000.1562
2001,1000.1439
2002,1000.1392
2003,1000.1797
2004,1000.1856
2005,1000.1876
2006,1000.1952
2007,1000.1683
2008,1000.1786
2009,1000.1993
2010,1000.1797
2011,1000.1744
2012,1000.1836
2013,1000.188
2014,1000.1676
2015,1000.1731
2016,1000.1444
2017,1000.1518
2018,1000.1641
2019,1000.1388
2020,1000.1279
2021,1000.1495
2022,1000.1586
2023,1000.1275
