date,mean winter Schmidt stability
1974,0.14
1978,-1.09
1979,15.97
1983,2.73
1984,1.27
1986,-0.25
1987,6.24
1988,5.16
1989,0.43
1990,-0.49
1991,1.53
1992,0.59
1993,0.55
1994,-0.12
1995,0.84
1996,-0.44
1997,0.31
1999,1.97
2000,-0.62
2001,-0.03
2002,0.19
2003,-0.97
2004,-0.0
2005,0.53
2006,0.06
2007,1.48
2008,0.05
2009,0.04
2010,-0.03
2011,0.01
2012,0.81
2013,-1.01
2014,0.37
2015,0.76
2016,-0.71
2017,0.24
2018,0.56
2019,1.71
2020,0.37
2021,1.03
2022,-0.2
2023,4.0
