date,mean summer surface temperature
1973,20.95
1976,23.75
1978,21.84
1982,22.45
1985,21.72
1986,21.95
1987,21.11
1988,20.22
1989,22.26
1990,22.63
1991,22.82
1992,22.73
1993,21.53
1994,23.69
1995,22.22
1996,20.73
1997,20.52
1998,22.64
1999,21.46
2000,20.95
2001,21.75
2002,23.07
2003,25.28
2004,21.92
2005,22.61
2006,24.39
2007,23.44
2008,21.93
2009,21.4
2010,22.72
2011,20.84
2012,21.93
2013,23.17
2014,21.3
2015,24.0
2016,23.27
2017,23.69
2018,23.85
2019,22.5
2020,22.5
2021,22.57
2022,25.12
2023,24.48
