date,mean late autumn Schmidt stability
1973,271.87
1978,299.26
1982,391.08
1983,590.35
1985,262.99
1986,298.69
1987,250.31
1988,238.1
1989,358.52
1990,229.89
1991,148.51
1992,164.4
1993,220.71
1994,363.92
1995,319.86
1996,205.34
1997,150.97
1998,182.47
1999,237.71
2000,230.47
2001,245.03
2002,182.63
2003,172.35
2004,442.21
2005,575.21
2006,474.25
2007,251.23
2008,309.13
2009,324.3
2010,292.19
2011,471.5
2012,383.99
2013,542.21
2014,630.09
2015,378.07
2016,330.16
2017,448.33
2018,507.6
2019,527.9
2020,444.53
2021,369.11
2022,777.4
2023,572.16
