date,mean winter surface oxygen concentration
1974,6.8
1978,7.49
1979,6.2
1983,7.74
1984,8.28
1986,6.12
1987,9.19
1988,8.36
1989,8.49
1990,6.95
1991,8.31
1992,9.31
1993,9.59
1994,9.13
1995,7.67
1996,8.03
1997,8.84
1999,9.47
2000,9.49
2001,7.9
2002,9.66
2003,8.63
2004,8.95
2005,9.03
2006,8.86
2007,8.1
2008,9.22
2009,9.16
2010,8.96
2011,10.15
2012,9.72
2013,8.81
2014,8.75
2015,7.83
2016,8.43
2017,8.27
2018,9.94
2019,9.01
2020,9.22
2021,9.53
2022,11.14
2023,9.28
