date,mean winter surface temperature
1974,4.55
1978,3.77
1979,2.42
1983,4.65
1984,3.58
1986,3.93
1987,2.8
1988,5.16
1989,4.72
1990,5.0
1991,4.61
1992,4.14
1993,4.56
1994,4.57
1995,4.92
1996,4.76
1997,3.86
1999,4.44
2000,4.53
2001,5.82
2002,4.4
2003,5.68
2004,4.58
2005,4.65
2006,3.88
2007,5.74
2008,4.41
2009,4.11
2010,4.18
2011,4.44
2012,5.11
2013,5.17
2014,5.1
2015,5.76
2016,6.13
2017,5.31
2018,5.45
2019,5.6
2020,6.18
2021,5.51
2022,5.62
2023,6.51
