date,minimum Secchi depth
1973,1.5
1978,0.5
1986,0.9
1987,1.0
1988,1.0
1989,1.6
1990,1.8
1991,1.6
1992,1.5
1993,1.5
1994,2.3
1995,2.4
1996,1.5
1997,1.6
1999,1.4
2000,1.6
2001,1.0
2002,0.8
2003,0.9
2004,1.2
2005,1.1
2006,2.2
2007,1.9
2008,1.3
2009,3.1
2010,1.8
2011,2.5
2012,1.8
2013,2.1
2014,1.6
2015,3.0
2016,3.0
2017,3.0
2018,3.4
2019,4.0
2020,3.0
2021,1.0
2022,3.2
2023,3.4
