date,mean early autumn hypolimnetic oxygen content
1972,33.26
1973,67.4
1975,139.96
1976,378.23
1978,181.94
1979,139.28
1982,128.45
1985,96.91
1986,479.45
1987,770.72
1988,547.04
1989,607.87
1990,478.54
1991,792.61
1992,414.38
1993,358.89
1994,608.69
1995,507.02
1996,708.62
1997,634.2
1998,477.53
1999,312.92
2000,270.42
2001,128.99
2002,228.99
2003,312.99
2004,333.87
2005,334.21
2006,273.74
2007,105.43
2008,212.16
2009,274.21
2010,623.25
2011,382.94
2012,446.27
2013,596.16
2014,187.83
2015,615.18
2016,387.08
2017,376.31
2018,554.61
2019,498.98
2020,411.54
2021,466.53
2022,489.52
2023,326.79
