date,mean spring Schmidt stability
1973,81.18
1974,408.89
1978,60.19
1979,241.18
1982,84.85
1983,97.56
1984,83.29
1985,64.43
1986,15.44
1987,62.91
1988,153.31
1989,197.19
1990,86.28
1991,119.85
1992,149.94
1993,140.21
1994,179.37
1995,186.11
1996,238.51
1997,166.18
1998,250.6
1999,119.87
2000,295.03
2001,156.24
2002,208.58
2004,184.54
2005,155.88
2006,157.51
2007,448.37
2008,121.72
2009,167.16
2010,272.73
2011,345.4
2012,107.87
2013,102.84
2014,243.57
2015,350.94
2016,172.03
2017,269.87
2018,206.18
2019,296.67
2020,458.92
2021,112.77
2022,352.49
2023,224.25
