date,mean summer epilimnion 0-5 m oxygen concentration
1973,12.6
1976,11.52
1978,12.46
1982,13.85
1985,13.82
1986,13.32
1987,12.62
1988,12.21
1989,13.09
1990,13.45
1991,13.04
1992,12.58
1993,12.48
1994,10.29
1995,12.01
1996,12.53
1997,11.68
1998,12.11
1999,12.17
2000,12.4
2001,13.48
2002,10.8
2003,10.32
2004,11.54
2005,10.85
2006,10.99
2007,13.34
2008,10.8
2009,10.99
2010,10.33
2011,10.58
2012,9.8
2013,9.75
2014,9.83
2015,9.35
2016,11.09
2017,9.66
2018,9.66
2019,9.61
2020,9.77
2021,10.05
2022,9.27
2023,9.25
