date,mean spring epilimnion 5-10 m oxygen concentration
1973,8.0
1974,8.68
1977,9.23
1978,9.47
1979,8.48
1982,10.63
1983,10.59
1984,10.65
1985,11.32
1986,10.06
1987,12.18
1988,12.51
1989,10.88
1990,11.72
1991,11.63
1992,11.65
1993,11.97
1994,12.39
1995,11.6
1996,11.49
1997,11.72
1998,12.49
1999,12.32
2000,11.81
2001,11.99
2002,11.33
2004,12.33
2005,11.98
2006,11.51
2007,11.25
2008,11.67
2009,12.04
2010,12.3
2011,12.77
2012,12.32
2013,12.0
2014,11.65
2015,12.65
2016,11.53
2017,11.87
2018,12.03
2019,12.16
2020,12.66
2021,12.3
2022,12.88
2023,11.6
