date,mean winter bottom oxygen concentration
1974,0.0
1978,0.0
1979,0.0
1983,0.0
1984,0.11
1986,4.64
1987,7.92
1988,7.92
1989,8.2
1990,7.08
1991,7.93
1992,8.48
1993,8.69
1994,8.53
1995,7.37
1996,7.32
1997,8.59
1999,7.92
2000,8.02
2001,7.54
2002,9.24
2003,8.25
2004,8.26
2005,8.6
2006,8.25
2007,5.99
2008,8.6
2009,8.73
2010,8.48
2011,8.79
2012,9.13
2013,7.86
2014,7.67
2015,7.49
2016,7.9
2017,7.38
2018,9.67
2019,8.51
2020,8.58
2021,9.28
2022,9.94
2023,3.78
