date,mean annual surface temperature
1973,13.29
1978,12.05
1986,12.16
1987,11.82
1988,12.6
1989,13.8
1990,12.81
1991,12.25
1992,12.76
1993,12.72
1994,13.21
1995,13.32
1996,11.98
1997,12.51
1999,12.62
2000,13.65
2001,13.53
2002,13.43
2003,14.04
2004,13.14
2005,13.24
2006,13.32
2007,14.26
2008,12.64
2009,12.94
2010,12.84
2011,14.06
2012,13.11
2013,13.13
2014,13.76
2015,13.88
2016,13.64
2017,13.74
2018,14.75
2019,14.0
2020,14.68
2021,13.23
2022,15.31
2023,14.89
