date,mean summer epilimnion 0-10 m oxygen concentration
1973,9.95
1976,11.18
1978,9.48
1982,11.67
1985,10.81
1986,11.56
1987,10.87
1988,9.84
1989,10.12
1990,12.16
1991,11.63
1992,11.85
1993,10.1
1994,8.55
1995,10.4
1996,11.31
1997,10.54
1998,12.95
1999,10.3
2000,10.11
2001,11.22
2002,10.18
2003,11.1
2004,14.4
2005,12.64
2006,14.66
2007,12.73
2008,13.74
2009,15.43
2010,13.36
2011,15.16
2012,14.24
2013,13.21
2014,11.38
2015,11.35
2016,11.88
2017,11.8
2018,12.42
2019,11.44
2020,11.57
2021,11.88
2022,12.13
2023,11.86
