date,mean late autumn hypolimnetic oxygen concentration
1973,0.74
1976,1.62
1978,0.25
1982,1.04
1983,2.34
1985,0.42
1986,1.85
1987,4.4
1988,3.58
1989,2.67
1990,2.74
1991,4.96
1992,3.72
1993,2.31
1994,3.3
1995,2.79
1996,3.97
1997,3.37
1998,3.87
1999,1.85
2000,2.06
2001,2.59
2002,1.91
2003,2.34
2004,1.5
2005,2.08
2006,1.25
2007,2.14
2008,1.88
2009,1.89
2010,3.47
2011,1.77
2012,2.28
2013,3.54
2014,1.0
2015,3.44
2016,2.38
2017,2.54
2018,2.43
2019,1.87
2020,1.66
2021,2.13
2022,2.51
2023,1.24
