date,mean winter Schmidt stability
1995,14.5
1996,-3.07
1997,3.0
1998,8.37
1999,-3.0
2000,-5.55
2001,27.46
2002,7.7
2003,2.34
2004,4.05
2005,16.93
2006,1.89
2007,11.9
2008,5.53
2009,-0.12
2010,12.99
2011,5.68
2012,10.54
2013,6.84
2014,-3.11
2015,2.93
2016,59.02
2017,0.89
2018,-3.33
2019,-2.7
2020,29.59
2021,12.95
2022,2.25
2023,22.36
